siteID,plotID,year,plotArea_m2,tree_AGBJenkins,tree_AGBChojnacky,tree_AGBAnnighofer,n_trees,small_woody_AGBJenkins,small_woody_AGBChojnacky,small_woody_AGBAnnighofer,n_small_woody_total,n_small_woody_measured,n_unaccounted_trees,total_AGBJenkins,total_AGBChojnacky,total_AGBAnnighofer,growth,growth_cumu
HARV,HARV_001,2014,1600,31.565532550943658,30.730437300965285,0.0,14,0.40116100455365533,0.3356585260257193,1.6724485542736907,156,154,1,31.966693555497315,31.066095826991003,1.6724485542736907,,4.349328295580167
HARV,HARV_001,2015,1600,0.0,0.0,0.0,1,0.0012859168196310432,0.0011771867621156204,0.05480412590431875,5,5,1,0.0012859168196310432,0.0011771867621156204,0.05480412590431875,-31.965407638677686,4.349328295580167
HARV,HARV_001,2019,1600,44.48873953443166,43.57827315057497,0.0,17,0.04280472341282511,0.037809576007025655,0.17392241759002355,17,17,1,44.53154425784449,43.616082726582,0.17392241759002355,11.132564585256214,4.349328295580167
HARV,HARV_001,2023,1600,54.08972615543578,53.07795030851044,0.0,15,0.18505818413694947,0.17027184646927374,0.25370245676440345,26,6,1,54.274784339572726,53.248222154979715,0.25370245676440345,2.4358100204320596,4.349328295580167
HARV,HARV_002,2015,1600,0.0,0.0,0.0,0,0.061045330301799546,0.05994824483547097,0.11557571827095407,11,8,4,0.061045330301799546,0.05994824483547097,0.11557571827095407,,5.278482289222028
HARV,HARV_002,2019,1600,41.548906593823496,41.90954872539916,0.0,21,0.5461524758725771,0.5256942861398751,0.5681672199092472,51,42,4,42.09505906969607,42.435243011539036,0.5681672199092472,10.508503434848567,5.278482289222028
HARV,HARV_002,2023,1600,41.697295230465215,42.047469879659815,0.0,22,0.5916084136128086,0.5823317806815398,0.6812117011488739,58,38,4,42.288903644078026,42.62980166034136,0.6812117011488739,0.04846114359548892,5.278482289222028
HARV,HARV_004,2015,1600,45.99995615969913,45.432978477146264,0.0,10,0.00044564814095420066,0.00040714347896067066,0.052295511373538876,2,2,3,46.000401807840085,45.433385620625224,0.052295511373538876,,-3.1916492704519706
HARV,HARV_004,2019,1600,25.824516470819233,25.656486274572362,0.0,12,2.5326890037007734,2.3925840343275913,0.49382250484826945,67,47,3,28.357205474520008,28.049070308899953,0.49382250484826945,-4.410799083330019,-3.1916492704519706
HARV,HARV_004,2023,1600,18.82172486219249,19.150877208611682,0.0,7,1.6454827820318283,1.521241280579124,0.22153351897204118,39,10,3,20.467207644224317,20.672118489190805,0.22153351897204118,-1.9724994575739228,-3.1916492704519706
HARV,HARV_005,2014,1600,69.64391091455296,67.27107228506313,0.0,31,2.0644133258907287,1.9116482308306264,0.6390694695643782,111,32,2,71.70832424044369,69.18272051589375,0.6390694695643782,,0.35060405772730246
HARV,HARV_005,2015,1600,0.4429059878860557,0.4079399300913775,0.0,3,0.3572597993732242,0.3489248927575395,,6,2,2,0.8001657872592799,0.756864822848917,0.0,-70.90815845318441,0.35060405772730246
HARV,HARV_005,2019,1600,40.04328190696777,38.528609247239594,0.0,31,3.0300897606726043,2.7950289514515436,0.5368444466656217,109,23,2,43.07337166764037,41.323638198691135,0.5368444466656217,10.568301470095273,0.35060405772730246
HARV,HARV_005,2023,1600,43.24559057466316,41.626192792446716,0.0,30,1.527383360905784,1.4755969297747606,0.1850342945951,53,3,2,44.77297393556895,43.101789722221476,0.1850342945951,0.42490056698214396,0.35060405772730246
HARV,HARV_006,2014,1600,56.64890985607184,54.612436144744535,0.0,30,0.8446912592959743,0.7785697338957206,3.315577584429784,38,38,3,57.49360111536782,55.39100587864026,3.315577584429784,,1.1958817891840137
HARV,HARV_006,2015,1600,2.980085383079606,2.8777320600660627,0.0,1,0.10396602940920417,0.09683478406400974,,11,11,3,3.0840514124888103,2.9745668441300723,0.0,-54.409549702879005,1.1958817891840137
HARV,HARV_006,2019,1600,41.76661681439692,40.200292255050734,0.0,31,1.7245085035202927,1.5911932828972783,0.5093739112099315,84,84,3,43.49112531791721,41.79148553794801,0.5093739112099315,10.1017684763571,1.1958817891840137
HARV,HARV_006,2023,1600,42.783976811339485,41.169955571758464,0.0,32,1.1034974211682684,1.0149675554582787,0.4768210330261368,46,20,3,43.887474232507756,42.18492312721674,0.4768210330261368,0.09908722864763675,1.1958817891840137
HARV,HARV_008,2015,1600,11.462879826806343,11.06371057617317,0.0,2,0.018442656799974425,0.013709204388310815,0.127798809367089,18,12,10,11.481322483606318,11.077419780561481,0.127798809367089,,4.181111309723166
HARV,HARV_008,2019,1600,43.57122055606777,45.260858604556056,0.0,13,1.2809456252621265,1.150935258970636,0.6771178821461289,94,71,10,44.8521661813299,46.41179386352669,0.6771178821461289,8.342710924430895,4.181111309723166
HARV,HARV_008,2023,1600,44.00999996299462,45.676630246340835,0.0,13,0.9202129983970265,0.8238303417382071,0.551547398933341,83,60,10,44.930212961391646,46.500460588079044,0.551547398933341,0.019511695015436814,4.181111309723166
HARV,HARV_010,2015,1600,0.0,0.0,0.0,0,0.10566807809415575,0.09909483429133023,0.04742746391641196,9,7,2,0.10566807809415575,0.09909483429133023,0.04742746391641196,,4.47489906555209
HARV,HARV_010,2019,1600,43.366349858132835,41.74680548640278,0.0,15,0.8979013654091016,0.8384203239163844,0.3472865192926953,53,52,2,44.26425122354194,42.58522581031916,0.3472865192926953,11.039645786361946,4.47489906555209
HARV,HARV_010,2023,1600,35.238765591521364,33.87694521435113,0.0,17,0.6660950109895071,0.6165108309963179,0.33078335234354567,46,42,2,35.90486060251087,34.49345604534745,0.33078335234354567,-2.089847655257767,4.47489906555209
HARV,HARV_011,2015,1600,0.22546170594308312,0.3109271466992225,0.0,2,0.010323483277281529,0.004039280469588731,0.019773998705260875,3,3,0,0.23578518922036465,0.31496642716881124,0.019773998705260875,,7.79358986515234
HARV,HARV_011,2019,1600,62.5956323558712,61.90729722688766,0.0,27,0.2814895328492235,0.22189467975216104,0.32234919572863235,32,25,0,62.877121888720424,62.12919190663982,0.32234919572863235,15.660334174875015,7.79358986515234
HARV,HARV_011,2023,1600,62.30301457758986,61.62655568308094,0.0,22,0.2814895328492235,0.22189467975216104,0.3324152873026667,32,23,0,62.584504110439084,61.8484503628331,0.3324152873026667,-0.07315444457033493,7.79358986515234
