siteID,plotID,individualID,scientificName,taxonID,status,reason
PUUM,PUUM_014,NEON.PLA.D20.PUUM.02379,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_041,NEON.PLA.D20.PUUM.00232A,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_006,NEON.PLA.D20.PUUM.02667,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_017,NEON.PLA.D20.PUUM.03122,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_041,NEON.PLA.D20.PUUM.08092,Sadleria pallida Hook. & Arn.,SAPA11,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_031,NEON.PLA.D20.PUUM.00354,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_015,NEON.PLA.D20.PUUM.03026,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_034,NEON.PLA.D20.PUUM.03643,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_007,NEON.PLA.D20.PUUM.03218,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_039,NEON.PLA.D20.PUUM.08021,Sadleria pallida Hook. & Arn.,SAPA11,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_006,NEON.PLA.D20.PUUM.08192,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_017,NEON.PLA.D20.PUUM.03171,Sadleria pallida Hook. & Arn.,SAPA11,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_016,NEON.PLA.D20.PUUM.03694,Sadleria pallida Hook. & Arn.,SAPA11,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_040,NEON.PLA.D20.PUUM.08025,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_040,NEON.PLA.D20.PUUM.01174,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_039,NEON.PLA.D20.PUUM.08459,Sadleria pallida Hook. & Arn.,SAPA11,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_016,NEON.PLA.D20.PUUM.03461,Cibotium menziesii Hook.,CIME8,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_015,NEON.PLA.D20.PUUM.03510,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_017,NEON.PLA.D20.PUUM.03124,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_016,NEON.PLA.D20.PUUM.03470,Sadleria pallida Hook. & Arn.,SAPA11,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_035,NEON.PLA.D20.PUUM.03782,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_016,NEON.PLA.D20.PUUM.03273,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_006,NEON.PLA.D20.PUUM.02683,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_041,NEON.PLA.D20.PUUM.00270,Sadleria cyatheoides Kaulf.,SACY3,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_049,NEON.PLA.D20.PUUM.00659,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_020,NEON.PLA.D20.PUUM.01965,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_006,NEON.PLA.D20.PUUM.08150,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_031,NEON.PLA.D20.PUUM.02644,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_031,NEON.PLA.D20.PUUM.02641,Cibotium sp.,CIBOT,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_046,NEON.PLA.D20.PUUM.00521,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_014,NEON.PLA.D20.PUUM.02378,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_010,NEON.PLA.D20.PUUM.01711,Sadleria pallida Hook. & Arn.,SAPA11,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_018,NEON.PLA.D20.PUUM.02022,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_015,NEON.PLA.D20.PUUM.03537,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_004,NEON.PLA.D20.PUUM.03066,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
