siteID,plotID,individualID,scientificName,taxonID,status,reason
JORN,JORN_002,NEON.PLA.D14.JORN.04912,Yucca elata (Engelm.) Engelm.,YUEL,UNMEASURED,Never measured in survey campaigns
JORN,JORN_019,NEON.PLA.D14.JORN.04984,Yucca elata (Engelm.) Engelm.,YUEL,UNMEASURED,Never measured in survey campaigns
JORN,JORN_014,NEON.PLA.D14.JORN.04927,Yucca elata (Engelm.) Engelm.,YUEL,UNMEASURED,Never measured in survey campaigns
JORN,JORN_019,NEON.PLA.D14.JORN.04987,Yucca elata (Engelm.) Engelm.,YUEL,UNMEASURED,Never measured in survey campaigns
JORN,JORN_003,NEON.PLA.D14.JORN.04746,Yucca elata (Engelm.) Engelm.,YUEL,UNMEASURED,Never measured in survey campaigns
JORN,JORN_001,NEON.PLA.D14.JORN.04223,Gutierrezia sarothrae (Pursh) Britton & Rusby,GUSA2,UNMEASURED,Never measured in survey campaigns
JORN,JORN_017,NEON.PLA.D14.JORN.04767,Yucca elata (Engelm.) Engelm.,YUEL,UNMEASURED,Never measured in survey campaigns
JORN,JORN_071,NEON.PLA.D14.JORN.02991,Cylindropuntia imbricata (Haw.) F.M. Knuth,CYIM2,UNMEASURED,Never measured in survey campaigns
JORN,JORN_003,NEON.PLA.D14.JORN.04745,Yucca elata (Engelm.) Engelm.,YUEL,UNMEASURED,Never measured in survey campaigns
JORN,JORN_007,NEON.PLA.D14.JORN.04934,Yucca elata (Engelm.) Engelm.,YUEL,UNMEASURED,Never measured in survey campaigns
JORN,JORN_007,NEON.PLA.D14.JORN.04936,Yucca elata (Engelm.) Engelm.,YUEL,UNMEASURED,Never measured in survey campaigns
JORN,JORN_003,NEON.PLA.D14.JORN.04748,Yucca elata (Engelm.) Engelm.,YUEL,UNMEASURED,Never measured in survey campaigns
JORN,JORN_007,NEON.PLA.D14.JORN.04938,Yucca elata (Engelm.) Engelm.,YUEL,UNMEASURED,Never measured in survey campaigns
JORN,JORN_002,NEON.PLA.D14.JORN.04913,Yucca elata (Engelm.) Engelm.,YUEL,UNMEASURED,Never measured in survey campaigns
